Models,Dataset,R-sq,RMSE,MAE
Linear Regression,Training,0.327121579,28.61455354,8.011598732
Linear Regression,Testing,0.350502039,26.96491816,7.845112722
Random Forest,Training,0.831690673,14.31109172,3.413938205
Random Forest,Testing,0.703249477,18.22661237,3.870179297
Neural Network,Training,0.676574576,19.83835933,4.180989809
Neural Network,Testing,0.676548004,19.0289633,4.169827151
KNN,Training,0.85537619,13.26595664,1.970339053
KNN,Testing,0.676548004,19.0289633,4.169827151
SVR,Training,0.85537619,13.26595664,1.970339053
SVR,Testing,0.676548004,19.0289633,4.169827151
